age,country,music_style,favorite_artists,have_music_degree,track_memorized
20-29,中華民國,"Pop 流行樂, Folk / Country 民歌／鄉村歌曲, Classical 古典樂",ed sheeran/Maksim/Lauv,no,"-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,0,-1,1,-1,0,1,-1,-1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,0,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,1,-1,1,1,-1,-1,-1,1,-1,-1,0,1,-1,1,1,-1,1,-1,1,1,-1,1,-1,-1,-1,1,0,1,-1,-1,1,-1,0,1,1,1,1,-1,-1,0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,1,1,-1,1,-1,1,-1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,0,-1,-1,0,1,-1,1,1,-1,1,1,-1,-1,-1,1,-1,-1,-1"
20-29,中華民國,"Pop 流行樂, Electronic Dance Music (EDM) 電音, Hip-hop / Rap 嘻哈樂／饒舌樂",Hex Cougar / Virtual Self / CODE KUNST,no,"0,1,1,0,1,1,1,-1,-1,1,1,-1,0,0,0,-1,-1,-1,1,-1,0,0,-1,-1,0,-1,0,-1,-1,1,0,1,-1,1,0,1,1,-1,1,0,1,-1,1,0,-1,-1,1,0,-1,1,1,1,-1,0,1,-1,0,1,1,-1,0,-1,1,0,0,1,-1,-1,1,1,1,1,-1,-1,1,1,-1,0,-1,0,-1,0,-1,0,0,-1,1,0,0,-1,1,0,1,0,1,-1,-1,-1,-1,-1,1,0,-1,-1,1,-1,1,0,-1,0,0,1,-1,0,-1,-1,-1,-1,-1,-1,1,0,0,1,0,0,0,0,0,-1,0,1,-1,1,1,-1,-1,0,-1,1,0,-1,1,1,0,1,1,-1,1,1,0,1,0,0,-1,1,-1,-1,0,1,-1,1,-1,0,-1,1,-1,1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,0,0,1,-1,0,1,0,-1,-1,-1,-1,0,-1,-1,0,-1,0,1,-1,-1,1,-1,1,-1,-1,-1,-1,0,1,0,-1,1,-1,-1,0,1,0,-1,1,1,-1"
20-29,台灣,"Pop 流行樂, Folk / Country 民歌／鄉村歌曲, Indie Rock 獨立音樂, R & B / Soul 節奏藍調／靈魂樂, Jazz/Blues 爵士樂／藍調",魏如萱/deca joins/陳綺貞,no,"-1,1,0,-1,0,-1,-1,-1,1,1,1,-1,1,-1,-1,1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,0,-1,-1,1,0,-1,-1,-1,-1,1,1,1,1,-1,0,1,-1,-1,-1,-1,-1,1,1,-1,0,-1,-1,0,1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,0,-1,-1,1,-1,-1,1,0,1,-1,-1,-1,1,-1,-1,-1,1,-1,0,-1,-1,1,1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,1,0,-1,-1,-1,-1,0,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,0,1,-1,-1,-1,-1,1,1,1,-1,0,1,-1,-1,-1,-1,0,1,1,1,0,-1,1,0,-1,-1,-1,1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,1,-1,-1,1,-1,-1,0,-1,1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1"
20-29,中華民國,"Pop 流行樂, Folk / Country 民歌／鄉村歌曲, Electronic Dance Music (EDM) 電音, Indie Rock 獨立音樂, Rock 搖滾音樂",Lady A/海豚刑警/Conan Gray,no,"-1,-1,1,-1,0,0,1,1,-1,1,1,-1,-1,1,1,-1,0,1,1,-1,0,-1,-1,1,1,1,1,-1,1,1,1,-1,1,1,-1,1,-1,1,-1,-1,1,1,0,-1,0,-1,1,-1,1,-1,1,-1,-1,-1,1,-1,0,-1,1,1,-1,0,1,-1,1,1,-1,1,1,1,1,0,1,1,-1,1,1,1,1,1,-1,1,0,0,-1,0,-1,0,1,0,-1,-1,1,1,1,-1,1,1,1,1,0,0,-1,-1,0,-1,1,-1,-1,0,-1,-1,-1,-1,-1,1,0,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,1,-1,0,0,-1,-1,1,-1,0,1,0,-1,-1,-1,-1,-1,-1,1,-1,0,-1,-1,1,-1,0,1,0,1,-1,1,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,0,-1,-1,1,1,1,0,1,1,-1,-1,1,-1,1,-1,-1,1,0,-1,-1,1,1,0,0,-1,-1,1,-1,-1,-1,-1,0,0,1,1,0,0,-1,1,-1,1,0,1,0,-1"
20-29,台灣,無特別,Aimer/Lisa/伍佰,no,"1,1,0,-1,0,-1,-1,-1,0,0,0,-1,-1,-1,1,-1,-1,-1,0,1,-1,1,0,1,1,1,1,-1,-1,-1,1,-1,0,-1,0,-1,1,0,0,-1,1,1,1,-1,-1,0,0,0,-1,-1,0,0,1,1,-1,-1,0,-1,-1,-1,-1,-1,1,-1,0,-1,-1,1,-1,1,1,-1,1,0,-1,-1,-1,-1,-1,1,1,-1,0,-1,0,1,-1,0,-1,-1,1,-1,-1,0,0,-1,-1,0,0,-1,-1,1,1,0,0,-1,-1,-1,-1,0,0,1,-1,0,0,0,-1,-1,1,0,0,-1,1,-1,0,1,-1,-1,-1,0,0,0,-1,1,0,-1,-1,-1,-1,1,-1,-1,1,0,1,-1,-1,0,-1,0,-1,0,1,0,-1,-1,-1,-1,-1,0,1,-1,0,-1,0,-1,-1,1,1,0,-1,0,1,0,-1,-1,0,-1,-1,1,-1,-1,0,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,0,-1,-1,1,1,-1,1,0,0,0,-1,1,-1,-1,-1,-1,0,-1,-1"
20-29,台灣,"Pop 流行樂, Indie Rock 獨立音樂, Rock 搖滾音樂, Jazz/Blues 爵士樂／藍調","yorushika, ZUTOMAYO, 康士坦的變化球",no,"-1,1,-1,-1,0,1,0,1,0,-1,-1,-1,0,1,1,1,-1,1,1,1,1,1,0,-1,1,-1,1,0,-1,-1,1,1,1,1,1,0,-1,0,0,-1,1,1,1,-1,-1,-1,-1,0,-1,-1,1,-1,-1,-1,-1,1,0,1,-1,-1,-1,0,-1,-1,1,-1,1,1,-1,1,1,0,1,1,-1,-1,1,-1,-1,-1,1,-1,0,-1,-1,1,1,1,-1,1,1,0,1,-1,-1,1,0,0,-1,1,0,-1,1,-1,1,-1,1,0,1,0,-1,0,-1,-1,-1,-1,-1,1,1,-1,1,1,-1,1,0,1,-1,1,-1,-1,1,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,1,1,1,-1,1,-1,-1,0,1,-1,0,-1,1,-1,-1,-1,1,0,-1,1,-1,-1,1,-1,1,-1,-1,1,1,1,-1,0,1,1,-1,-1,0,1,-1,-1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1"
20-29,台灣,"Pop 流行樂, Folk / Country 民歌／鄉村歌曲, Classical 古典樂","ariana grande, ed sheeran, taylor swift",yes,"-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,1,1,-1,1,-1,0,-1,-1,-1,1,0,-1,-1,-1,-1,1,0,-1,1,0,-1,1,1,-1,-1,1,-1,-1,0,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,0,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,1,1,-1,-1,-1,-1,1,1,0,1,1,-1,-1,-1,-1,0,-1,1,1,-1,-1,-1,1,-1,1,-1,1,0,1,1,-1,1,-1,0,-1,1,-1,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,1,-1,1,0,-1,0,-1,-1,1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,1,-1,-1,0,-1,1,-1,1,-1,0,1,0,-1"
20-29,台灣,"Pop 流行樂, Electronic Dance Music (EDM) 電音, Hip-hop / Rap 嘻哈樂／饒舌樂, R & B / Soul 節奏藍調／靈魂樂","Julia Wu, Blackpink, Keshi",no,"-1,-1,-1,0,0,-1,0,-1,-1,1,-1,0,1,1,1,-1,-1,-1,1,-1,0,-1,-1,1,0,-1,1,-1,0,1,1,1,0,0,-1,-1,1,0,-1,0,0,1,1,0,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,1,0,0,-1,-1,-1,0,1,-1,1,-1,1,0,1,-1,0,1,1,0,1,0,0,1,-1,-1,-1,1,-1,-1,1,0,0,-1,1,1,-1,0,1,1,-1,0,1,1,0,1,-1,1,1,1,-1,0,0,-1,1,1,0,1,-1,0,-1,1,0,0,0,1,0,0,1,-1,1,1,-1,-1,0,1,-1,1,-1,-1,-1,-1,0,-1,1,0,-1,0,1,0,-1,1,-1,0,1,1,0,0,1,-1,-1,0,1,-1,1,0,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,1,1,-1,-1,0,0,-1,0,0,-1,-1,1,0,0,0,-1,1,0,1,-1,-1,-1,1,1,1,-1,-1,0,1,-1,-1,-1,-1,0,-1,-1,1,0,-1,-1,0,-1,0,1,1"
20-29,台灣,"Folk / Country 民歌／鄉村歌曲, Hip-hop / Rap 嘻哈樂／饒舌樂, Indie Rock 獨立音樂, R & B / Soul 節奏藍調／靈魂樂, Jazz/Blues 爵士樂／藍調",宋冬野 keshi deca joins,no,"-1,-1,-1,-1,-1,1,-1,1,-1,0,1,0,-1,0,1,-1,1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,1,-1,1,0,0,1,-1,1,-1,-1,-1,-1,1,-1,1,0,-1,-1,-1,-1,-1,-1,1,0,-1,-1,0,-1,1,1,0,-1,-1,-1,-1,1,1,0,-1,0,1,0,-1,1,-1,1,-1,-1,1,0,0,-1,0,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,1,0,-1,-1,0,0,-1,0,-1,-1,-1,-1,1,-1,-1,-1,1,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,1,1,-1,-1,0,1,1,-1,0,-1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,0,1,-1,1,1,-1,1,1,-1,1,-1,-1,-1,-1,1,0,1,1,-1,0,-1,1,-1,-1,-1,-1,1,1,0,0,-1,-1,-1,-1,-1,0,-1,1,-1,0,0,-1,1,1,1,-1,1,1,0,-1,-1,-1,1,1,-1,-1,-1,1,-1,0,1,-1"
20-29,中華民國,"Pop 流行樂, R & B / Soul 節奏藍調／靈魂樂, Jazz/Blues 爵士樂／藍調",伍佰 告五人 wannasleep ,no,"0,1,-1,0,-1,1,0,-1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,1,0,-1,1,-1,-1,0,-1,1,-1,0,0,-1,-1,1,-1,0,0,0,-1,1,0,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,0,-1,-1,0,0,0,0,-1,0,0,1,0,0,-1,-1,1,0,-1,0,0,-1,-1,0,0,0,-1,-1,0,0,0,1,0,0,1,1,-1,0,1,0,0,1,-1,0,1,1,1,0,-1,-1,-1,-1,1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,1,0,0,0,1,0,0,0,-1,1,-1,-1,-1,0,0,0,0,-1,1,0,-1,0,-1,-1,-1,0,0,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,0,0,-1,1,-1,0,0,-1,0,0,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,0,1,-1,0,0,-1,-1,-1,-1,1,-1,0,1,0,0,-1,-1,0,1,-1,0,-1,-1,0,1,0,-1,1,0,-1,1"
